,2B,3B,HR,H,PA,BB,HBP,SF,G,AB,R,TB,RBI,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,SAC,XBH,GDP,GO,AO,GOAO,NP,score,result
910,47,12,40,196,354,102,3,5,66,354,119,387,68,127,1,10,0.554,0.646,1.093,1.739,9,0,99,23,176,160,1.1,1115,4.432412219881162,0
913,19,14,43,258,316,101,31,1,58,316,118,434,58,95,34,7,0.816,0.859,1.373,2.232,8,15,76,2,82,140,0.586,916,4.431109671692169,0
915,12,19,60,226,497,106,20,5,83,497,8,456,47,117,24,3,0.455,0.546,0.918,1.464,15,10,91,28,85,188,0.452,2652,4.430140299736852,0
922,60,0,56,192,663,87,0,1,132,663,26,420,94,108,34,3,0.29,0.372,0.633,1.005,0,15,116,18,49,193,0.254,682,4.428298806112551,0
925,37,10,32,259,678,88,8,3,128,678,69,412,64,99,23,6,0.382,0.451,0.608,1.059,22,8,79,13,121,116,1.043,1365,4.427122864079554,0
926,16,7,57,223,442,108,37,0,149,442,111,424,33,25,13,2,0.505,0.602,0.959,1.561,28,9,80,27,141,169,0.834,1813,4.426799906895529,0
927,52,12,56,251,463,85,21,5,84,463,55,495,11,18,25,2,0.542,0.608,1.069,1.677,2,15,120,11,38,184,0.207,2639,4.424594593752338,0
929,55,18,19,259,678,22,11,13,103,678,52,407,114,48,43,2,0.382,0.394,0.6,0.994,21,4,92,21,95,170,0.559,2069,4.4242587535524,0
930,38,1,60,209,741,54,29,4,154,741,76,429,93,109,18,6,0.282,0.329,0.579,0.908,30,10,99,18,12,128,0.094,1078,4.423902369480624,0
932,14,17,13,231,636,85,35,3,155,636,90,318,109,89,13,4,0.363,0.436,0.5,0.936,5,6,44,1,56,178,0.315,268,4.423244766229137,0
933,26,20,46,134,457,95,8,9,113,457,5,338,121,73,0,7,0.293,0.408,0.74,1.148,28,15,92,27,10,200,0.05,2871,4.422271066433381,0
934,34,5,52,189,569,98,8,13,115,569,62,389,96,57,26,7,0.332,0.422,0.684,1.106,19,11,91,20,13,13,1.0,2303,4.4217622357822,0
935,57,6,54,152,674,21,16,5,125,674,126,383,120,137,12,1,0.226,0.247,0.568,0.815,14,7,117,1,104,155,0.671,1257,4.4217084583135104,0
936,48,20,52,222,550,54,9,10,54,550,110,466,18,144,16,0,0.404,0.45,0.847,1.297,25,0,120,30,80,115,0.696,1510,4.421065121257527,0
938,52,20,40,133,547,10,20,5,125,547,105,345,128,1,4,7,0.243,0.254,0.631,0.885,27,5,112,12,84,167,0.503,2824,4.420934742202492,0
941,57,10,45,252,331,56,19,13,106,331,149,464,20,76,6,8,0.761,0.77,1.402,2.172,25,7,112,11,9,64,0.141,42,4.41943028487959,0
944,48,11,55,240,252,71,20,10,94,252,76,475,46,56,0,2,0.952,0.934,1.885,2.819,8,8,114,13,37,150,0.247,986,4.417990406426199,0
945,37,3,33,257,427,117,11,4,110,427,2,399,129,109,2,4,0.602,0.682,0.934,1.616,12,1,73,10,14,23,0.609,2501,4.41703588729706,0
946,6,14,43,217,387,75,19,6,161,387,105,380,90,65,9,10,0.561,0.624,0.982,1.606,10,1,63,7,160,183,0.874,373,4.415792050778461,0
950,56,14,57,136,365,86,21,3,142,365,82,391,33,137,24,2,0.373,0.489,1.071,1.56,9,10,127,24,99,119,0.832,1208,4.4146656084431175,0
955,19,15,39,219,719,98,33,11,131,719,119,385,21,6,34,0,0.305,0.383,0.535,0.918,3,8,73,15,82,203,0.404,807,4.412307961103136,0
956,40,16,41,159,605,101,10,14,61,605,52,354,94,104,18,1,0.263,0.361,0.585,0.946,22,8,97,6,174,189,0.921,72,4.411934492919564,0
959,42,13,36,202,477,74,10,13,155,477,141,378,37,115,34,0,0.423,0.489,0.792,1.281,28,5,91,14,152,142,1.07,1662,4.410982733145356,0
968,35,17,52,110,495,72,4,11,126,495,117,335,80,107,11,10,0.222,0.315,0.677,0.992,14,6,104,6,152,215,0.707,3275,4.408123095565152,0
975,35,11,43,138,575,83,21,9,64,575,127,324,124,135,33,7,0.24,0.331,0.563,0.894,23,8,89,22,180,204,0.882,2090,4.405060980990911,0
1071,51,19,23,182,674,91,20,4,160,674,115,340,8,80,30,7,0.27,0.355,0.504,0.859,6,6,93,25,36,217,0.166,1415,4.372893443037825,0
1073,56,3,56,241,438,111,35,13,140,438,24,471,8,145,1,6,0.55,0.626,1.075,1.701,24,1,115,3,57,157,0.363,1741,4.372179735272375,0
1077,52,11,47,122,151,105,1,1,132,151,60,337,101,73,42,1,0.808,0.883,2.232,3.115,21,8,110,14,3,161,0.019,3267,4.370562706558528,0
1179,35,0,34,254,609,101,13,6,157,609,1,391,120,27,18,7,0.417,0.496,0.642,1.138,29,2,69,30,33,46,0.717,1837,4.338812785031589,0
1181,56,13,52,206,468,33,24,3,107,468,134,444,36,129,36,3,0.44,0.474,0.949,1.423,3,12,121,3,103,144,0.715,2502,4.3384422100470115,0
1188,45,15,53,191,411,58,32,4,64,411,118,425,53,8,31,8,0.465,0.526,1.034,1.56,5,5,113,30,32,71,0.451,2434,4.336229139682249,0
1189,20,1,47,255,702,108,10,0,75,702,87,418,89,25,1,0,0.363,0.448,0.595,1.043,11,11,68,25,124,132,0.939,454,4.336066896338692,0
1192,51,13,13,249,577,104,28,9,137,577,58,365,45,20,38,3,0.432,0.512,0.633,1.145,25,6,77,18,39,49,0.796,2387,4.334990803438238,0
1196,57,0,58,143,505,58,37,10,58,505,144,374,121,60,50,9,0.283,0.351,0.741,1.092,8,13,115,4,183,174,1.052,613,4.333665529658603,0
1197,44,5,20,171,729,119,5,8,139,729,146,285,71,80,29,0,0.235,0.339,0.391,0.73,16,5,69,4,50,192,0.26,1704,4.333265580492538,0
1198,59,11,47,134,499,61,36,7,65,499,70,356,122,142,38,5,0.269,0.344,0.713,1.057,11,5,117,7,75,96,0.781,33,4.333075489949504,0
1202,40,3,23,260,535,71,35,9,89,535,120,375,122,35,23,2,0.486,0.538,0.701,1.239,20,10,66,19,2,122,0.016,2709,4.331419326834702,0
1205,34,18,60,156,621,11,26,9,103,621,122,406,80,121,21,1,0.251,0.261,0.654,0.915,23,8,112,3,1,207,0.005,1293,4.329533159009748,0
1208,51,14,39,212,581,99,38,5,81,581,41,408,39,84,7,9,0.365,0.454,0.702,1.156,25,13,104,27,16,145,0.11,3207,4.328377881349042,0
1213,1,20,50,244,600,48,29,6,59,600,32,435,118,16,3,8,0.407,0.446,0.725,1.171,22,8,71,3,198,189,1.048,774,4.327247309620373,0
1215,43,18,25,176,268,105,24,10,115,268,24,330,98,123,44,5,0.657,0.734,1.231,1.965,4,2,86,6,151,196,0.77,2526,4.326650209299724,0
1216,46,19,56,205,607,17,24,6,110,607,1,457,85,20,26,1,0.338,0.352,0.753,1.105,25,0,121,3,176,187,0.941,2774,4.326400275230681,0
1217,24,16,23,251,698,110,23,2,77,698,44,376,73,99,50,8,0.36,0.446,0.539,0.985,17,7,63,11,71,93,0.763,2173,4.326003645032747,0
1218,22,10,36,218,448,117,4,6,81,448,125,368,66,51,27,0,0.487,0.587,0.821,1.408,0,12,68,24,168,146,1.151,1686,4.325921452326476,0
1224,34,14,47,193,207,79,30,9,61,207,61,396,109,119,50,10,0.932,0.922,1.913,2.835,3,8,95,18,153,197,0.777,2594,4.321620467164097,0
1225,45,9,32,262,554,92,6,13,128,554,87,421,25,113,2,10,0.473,0.537,0.76,1.297,29,13,86,15,20,19,1.053,1195,4.3209327240367585,0
1226,50,9,28,257,571,89,18,7,139,571,124,409,8,65,30,1,0.45,0.519,0.716,1.235,13,4,87,6,43,109,0.394,2103,4.320840272803978,0
1227,16,7,49,257,570,91,21,1,90,570,87,434,70,93,35,9,0.451,0.526,0.761,1.287,11,1,72,10,176,147,1.197,2184,4.320207545893954,0
1232,32,18,46,251,735,6,22,13,120,735,144,457,27,9,22,9,0.341,0.341,0.622,0.963,10,0,96,6,102,101,1.01,3048,4.318199617945237,0
1239,25,8,46,211,683,102,25,5,71,683,26,390,107,6,13,0,0.309,0.396,0.571,0.967,29,7,79,9,65,166,0.392,1300,4.31615382932973,0
1246,57,17,38,141,571,18,32,13,160,571,32,346,123,139,49,10,0.247,0.264,0.606,0.87,27,6,112,14,53,103,0.515,329,4.313943356024552,0
1247,30,16,45,213,466,15,20,1,131,466,141,410,82,43,5,1,0.457,0.473,0.88,1.353,23,9,91,19,0,37,0.0,739,4.31360454533132,0
1249,25,10,31,259,491,106,25,14,159,491,49,397,46,41,36,1,0.527,0.597,0.809,1.406,8,10,66,4,25,42,0.595,2232,4.313136424499413,0
1252,24,4,60,209,335,95,7,0,147,335,69,421,73,31,12,5,0.624,0.707,1.257,1.964,5,7,88,3,6,117,0.051,1082,4.311359168202595,0
1255,42,0,51,164,276,101,8,0,150,276,43,359,130,35,27,6,0.594,0.703,1.301,2.004,8,13,93,21,34,151,0.225,1553,4.310025767590972,0
1261,18,10,56,250,425,34,27,13,66,425,121,456,98,9,39,1,0.588,0.602,1.073,1.675,24,1,84,30,24,183,0.131,2263,4.307580341458177,0
1262,20,20,43,96,100,94,30,11,96,100,93,285,129,101,20,2,0.96,0.927,2.85,3.777,1,12,83,6,34,210,0.162,3113,4.307395133875582,0
1176,26,18,56,193,558,48,10,11,87,558,106,423,58,77,23,10,0.346,0.391,0.758,1.149,15,13,100,27,114,189,0.603,2672,4.339979988757102,0
1173,10,15,41,153,704,108,26,4,106,704,31,316,122,159,0,3,0.217,0.32,0.449,0.769,14,1,66,19,32,123,0.26,631,4.340529982761783,0
1172,31,1,56,164,537,94,25,5,94,537,149,365,91,28,17,8,0.305,0.406,0.68,1.086,1,9,88,6,100,143,0.699,561,4.3405682714862985,0
1169,43,4,41,254,699,91,14,3,151,699,27,428,60,59,16,9,0.363,0.435,0.612,1.047,10,7,88,4,109,200,0.545,272,4.3414532618788115,0
1083,59,12,46,232,619,83,40,13,55,619,55,453,28,91,27,4,0.375,0.441,0.732,1.173,26,4,117,0,36,173,0.208,1174,4.368538987508443,0
1085,26,20,50,163,523,119,10,9,65,523,73,379,34,118,31,4,0.312,0.433,0.725,1.158,1,14,96,19,18,83,0.217,2721,4.3682566254085735,0
1086,59,13,48,149,183,41,27,12,146,183,144,378,66,70,48,9,0.814,0.805,2.066,2.871,14,11,120,9,117,130,0.9,2993,4.3681505899401,0
1087,54,8,45,205,444,75,0,10,64,444,121,410,74,25,18,10,0.462,0.529,0.923,1.452,11,14,107,29,15,196,0.077,2690,4.368044933665031,0
1089,55,11,24,231,705,0,24,8,145,705,125,380,118,24,0,6,0.328,0.324,0.539,0.863,27,1,90,13,186,208,0.894,84,4.366885483938143,0
1093,50,13,59,196,287,70,30,10,80,287,15,449,80,133,44,10,0.683,0.725,1.564,2.289,6,12,122,3,156,157,0.994,1199,4.366085849128055,0
1102,38,15,46,230,489,11,0,2,75,489,141,436,102,137,17,5,0.47,0.48,0.892,1.372,4,5,99,8,90,201,0.448,3068,4.363352705810037,0
1108,54,10,50,241,426,110,32,2,70,426,3,465,39,114,14,3,0.566,0.652,1.092,1.744,30,15,114,25,14,213,0.066,474,4.3616736901670246,0
1110,23,7,8,235,717,113,10,8,106,717,132,296,118,150,6,10,0.328,0.415,0.413,0.828,3,14,38,30,60,148,0.405,995,4.360475234391137,0
1111,28,19,46,133,370,104,40,2,62,370,75,337,94,87,5,2,0.359,0.498,0.911,1.409,27,4,93,2,76,97,0.784,2675,4.359784052372376,0
1112,50,4,27,226,270,94,26,5,127,270,137,365,82,124,37,5,0.837,0.867,1.352,2.219,16,9,81,6,108,114,0.947,1633,4.359706027584381,0
1113,27,17,24,234,624,93,2,2,81,624,47,367,103,12,30,9,0.375,0.455,0.588,1.043,17,2,68,22,197,187,1.053,68,4.359596063361149,0
1115,60,9,38,234,569,32,15,14,139,569,68,426,83,146,7,6,0.411,0.433,0.749,1.182,13,14,107,30,32,194,0.165,1264,4.3582932166113055,0
1116,27,17,31,228,389,90,11,10,124,389,84,382,60,114,35,4,0.586,0.65,0.982,1.632,15,4,75,4,122,170,0.718,920,4.357717310883608,0
894,19,20,19,259,731,118,23,11,120,731,110,375,7,82,40,3,0.354,0.438,0.513,0.951,28,15,58,11,96,116,0.828,1403,4.440197842612153,0
1119,29,18,56,111,269,114,3,9,157,269,85,344,32,72,20,8,0.413,0.574,1.279,1.853,19,2,103,25,42,77,0.545,1170,4.356645978411489,0
1124,4,10,57,232,579,74,12,10,78,579,41,427,124,28,29,9,0.401,0.462,0.737,1.199,25,0,71,15,53,55,0.964,1703,4.355679106839284,0
1127,56,4,35,216,504,88,21,11,88,504,138,385,65,35,15,9,0.429,0.504,0.764,1.268,27,4,95,22,119,198,0.601,1625,4.355233930280192,0
1131,47,8,11,252,614,89,34,7,142,614,83,348,88,144,0,6,0.41,0.48,0.567,1.047,21,15,66,27,156,152,1.026,1716,4.353755338527571,0
1133,18,4,43,261,593,109,8,10,153,593,143,416,15,22,19,10,0.44,0.52,0.702,1.222,9,0,65,22,14,25,0.56,2759,4.353075973675895,0
1138,17,13,48,143,739,116,18,1,130,739,38,330,87,138,9,10,0.194,0.303,0.447,0.75,14,3,78,3,148,196,0.755,1899,4.350483023004941,0
1142,10,13,37,199,732,78,5,1,98,732,106,346,117,68,2,8,0.272,0.342,0.473,0.815,20,0,60,6,96,206,0.466,2885,4.349938343344769,0
1148,41,8,35,226,373,46,8,14,158,373,129,388,90,81,25,8,0.606,0.628,1.04,1.668,7,8,84,9,153,145,1.055,1868,4.348346122123041,0
1150,29,13,27,256,323,110,27,0,85,323,29,392,101,63,2,3,0.793,0.845,1.214,2.059,6,12,69,14,50,89,0.562,479,4.347770020145323,0
1152,8,18,25,214,648,118,40,7,147,648,113,333,29,22,40,8,0.33,0.429,0.514,0.943,4,2,51,10,6,57,0.105,491,4.346412711719753,0
1153,59,8,34,169,547,59,19,6,80,547,107,346,127,13,20,3,0.309,0.373,0.633,1.006,2,5,101,13,103,88,1.17,1893,4.345943465391019,0
1157,58,17,22,210,404,67,35,1,85,404,86,368,85,99,37,8,0.52,0.587,0.911,1.498,18,2,97,18,167,192,0.87,2325,4.344989188980476,0
1163,18,16,45,176,250,110,37,14,133,250,108,361,40,35,21,3,0.704,0.765,1.444,2.209,30,8,79,10,200,200,1.0,3005,4.342926796204527,0
1165,37,18,35,189,386,60,5,7,81,386,131,367,87,39,33,8,0.49,0.55,0.951,1.501,29,9,90,11,3,136,0.022,2264,4.342619492502768,0
1167,55,19,22,232,456,51,18,13,70,456,2,391,128,23,50,9,0.509,0.544,0.857,1.401,25,13,96,26,121,190,0.637,2983,4.341868229475202,0
1123,42,9,42,164,427,75,38,6,63,427,134,350,114,53,47,10,0.384,0.47,0.82,1.29,1,6,93,24,138,140,0.986,1850,4.355716479881818,0
1263,14,18,58,210,623,35,7,5,71,623,117,434,74,129,40,6,0.337,0.37,0.697,1.067,18,0,90,2,67,149,0.45,3246,4.307138600781882,0
892,58,6,29,177,475,90,35,12,84,475,126,334,112,142,20,1,0.373,0.463,0.703,1.166,17,7,93,2,66,204,0.324,1596,4.440901886868446,0
890,36,4,57,219,562,35,30,14,137,562,73,434,122,32,33,0,0.39,0.416,0.772,1.188,4,10,97,1,164,188,0.872,256,4.441907724428112,0
631,44,10,44,204,257,86,18,7,53,257,113,400,122,113,41,5,0.794,0.829,1.556,2.385,14,12,98,8,14,40,0.35,3276,4.563425776459555,0
634,12,10,60,228,324,119,3,8,129,324,68,440,63,91,42,7,0.704,0.769,1.358,2.127,1,1,82,30,135,185,0.73,386,4.5619672316635596,0
636,42,12,52,219,354,108,11,9,93,354,61,441,56,141,36,4,0.619,0.694,1.246,1.94,20,2,106,0,98,172,0.57,281,4.560424631299815,0
637,60,17,27,108,557,84,10,1,161,557,94,283,108,62,17,5,0.194,0.299,0.508,0.807,1,15,104,15,160,136,1.176,16,4.56008728614958,0
642,60,8,24,200,282,89,29,0,151,282,117,348,105,127,7,2,0.709,0.779,1.234,2.013,25,0,92,20,10,69,0.145,1669,4.557349645041045,0
647,21,11,41,257,693,53,12,2,66,693,131,423,124,105,20,3,0.371,0.414,0.61,1.024,25,7,73,17,124,191,0.649,828,4.554979284860202,0
648,44,16,58,140,685,7,32,7,159,685,79,390,123,47,41,9,0.204,0.21,0.569,0.779,11,11,118,10,28,25,1.12,161,4.554425380962797,0
650,52,14,34,232,332,117,24,8,54,332,54,414,75,146,5,9,0.699,0.764,1.247,2.011,25,11,100,20,41,144,0.285,1500,4.551862792106654,0
651,58,18,58,248,587,6,34,8,114,587,72,516,41,146,37,0,0.422,0.423,0.879,1.302,1,5,134,9,120,200,0.6,1585,4.551484486940539,0
654,29,17,31,216,618,53,31,11,120,618,107,372,111,148,7,1,0.35,0.394,0.602,0.996,16,2,77,11,84,177,0.475,2951,4.550212464848865,0
655,40,15,57,212,216,61,36,15,53,216,81,453,99,61,8,5,0.981,0.935,2.097,3.032,8,6,112,18,76,77,0.987,2359,4.548729939346327,0
656,26,15,53,185,669,40,35,3,129,669,58,400,130,44,13,1,0.277,0.316,0.598,0.914,6,2,94,18,16,206,0.078,1626,4.548541681701336,0
657,58,19,19,255,332,98,25,6,152,332,75,408,20,6,19,5,0.768,0.81,1.229,2.039,22,15,96,19,96,161,0.596,1303,4.547840046653192,0
664,27,16,25,251,420,57,9,7,135,420,96,385,124,120,16,3,0.598,0.636,0.917,1.553,6,6,68,15,138,115,1.2,2833,4.545564793222672,0
665,41,20,54,160,489,66,37,6,84,489,71,403,82,86,31,2,0.327,0.403,0.824,1.227,0,2,115,14,21,58,0.362,1783,4.545184744691611,0
667,50,3,47,230,687,86,17,6,133,687,74,427,76,143,45,2,0.335,0.406,0.622,1.028,21,0,100,20,162,145,1.117,585,4.543520792937312,0
668,35,9,55,111,697,98,30,4,161,697,78,329,98,79,20,3,0.159,0.262,0.472,0.734,7,0,99,13,136,174,0.782,2365,4.542806058156934,0
671,54,8,26,232,553,107,12,9,54,553,99,380,102,81,11,1,0.42,0.507,0.687,1.194,28,6,88,7,86,197,0.437,1067,4.542164502767127,0
673,27,13,58,152,580,79,5,6,79,580,126,379,101,155,2,10,0.262,0.347,0.653,1.0,14,1,98,7,7,61,0.115,1298,4.541934350462599,0
674,30,15,43,234,738,65,37,9,143,738,38,423,78,110,25,1,0.317,0.368,0.573,0.941,30,8,88,25,121,143,0.846,2682,4.541902556203434,0
675,58,19,42,148,389,83,34,6,90,389,75,370,79,35,45,4,0.38,0.483,0.951,1.434,14,6,119,1,148,145,1.021,1675,4.541824498722873,0
676,60,19,39,150,711,104,2,1,151,711,3,365,52,49,50,8,0.211,0.311,0.513,0.824,9,8,118,8,137,179,0.765,2496,4.541104555777851,0
678,27,14,54,179,587,119,26,13,146,587,103,396,7,138,1,6,0.305,0.414,0.675,1.089,21,8,95,4,71,147,0.483,1024,4.538776365600656,0
683,33,16,55,149,621,37,40,13,142,621,83,379,110,57,8,6,0.24,0.277,0.61,0.887,0,10,104,25,125,129,0.969,3007,4.533387421187442,0
689,51,20,33,223,539,0,6,15,87,539,135,413,114,71,36,0,0.414,0.403,0.766,1.169,19,9,104,1,101,123,0.821,876,4.528117242458517,0
692,21,5,60,183,473,87,39,8,150,473,86,394,105,65,44,10,0.387,0.475,0.833,1.308,21,9,86,25,120,140,0.857,759,4.52674337743712,0
694,30,14,51,212,523,33,6,1,61,523,133,423,130,82,23,3,0.405,0.44,0.809,1.249,12,15,95,29,60,143,0.42,3188,4.525590773283046,0
696,56,17,48,255,349,44,31,13,154,349,85,489,8,112,0,4,0.731,0.736,1.401,2.137,18,12,121,24,147,158,0.93,1454,4.524075421483054,0
697,25,18,46,247,622,30,8,8,128,622,29,446,118,67,21,10,0.397,0.42,0.717,1.137,28,13,89,22,80,79,1.013,1444,4.5240284263277,0
630,46,20,51,171,331,117,10,3,131,331,23,410,34,45,30,6,0.517,0.639,1.239,1.878,24,8,117,7,108,177,0.61,2387,4.563896274443739,0
701,46,11,51,224,277,107,33,0,153,277,43,445,34,43,44,10,0.809,0.862,1.606,2.468,28,7,108,28,102,162,0.63,1015,4.522344119308758,0
628,40,3,58,204,344,102,18,13,63,344,92,424,112,98,9,10,0.593,0.667,1.233,1.9,0,1,101,15,99,107,0.925,1540,4.564622842444519,0
625,33,20,44,250,334,74,16,2,51,334,95,455,72,21,1,8,0.749,0.79,1.362,2.152,11,9,97,6,130,178,0.73,948,4.565244428670831,0
541,44,18,6,224,638,101,1,5,55,638,148,322,109,87,14,4,0.351,0.437,0.505,0.942,10,1,68,28,61,100,0.61,663,4.6126345093012535,0
543,10,19,38,202,314,93,34,3,153,314,126,364,83,65,46,2,0.643,0.72,1.159,1.879,5,2,67,8,37,206,0.18,498,4.6122092517485225,0
549,49,9,17,202,649,113,14,10,143,649,124,320,88,0,44,0,0.311,0.408,0.493,0.901,7,9,75,12,21,181,0.116,2230,4.6082598425741015,0
553,27,7,55,249,643,119,39,4,96,643,21,455,75,122,37,3,0.387,0.48,0.708,1.188,10,2,89,26,127,183,0.694,2275,4.605847172237525,0
556,50,17,44,168,428,103,8,11,142,428,142,384,9,127,29,8,0.393,0.5,0.897,1.397,13,3,111,2,133,220,0.605,3136,4.605558648721746,0
559,55,20,42,200,706,59,12,4,62,706,49,421,92,112,41,5,0.283,0.337,0.596,0.933,18,9,117,20,95,165,0.576,565,4.599880234569549,0
